"gid","fls_link","year","tour","date","venue","city","country","played_with","attendance","sound_quality","latitude","longitude"
"auckland-new-zealand-121293","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-121293' target='_blank'>auckland-new-zealand-121293</a>",1993,"1993 Japan/Australia/New Zealand Tour",1993-12-12,"Powerstation","Auckland","New Zealand","Thorazine Shuffle",500,"Excellent",-36.8662425,174.76118
"auckland-new-zealand-62797","<a href='https://www.dischord.com/fugazi_live_series/auckland-new-zealand-62797' target='_blank'>auckland-new-zealand-62797</a>",1997,"1997 Summer Australia/New Zealand Tour",1997-06-27,"Powerstation","Auckland","New Zealand",NA,968,"Good",-36.8662425,174.76118
"augsburg-germany-110588","<a href='https://www.dischord.com/fugazi_live_series/augsburg-germany-110588' target='_blank'>augsburg-germany-110588</a>",1988,"1988 Fall European Tour",1988-11-05,"Bootleg","Augsburg","Germany","Militant Mothers",199,"Good",48.3833287,10.878812
"austin-tx-usa-111695","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-111695' target='_blank'>austin-tx-usa-111695</a>",1995,"1995 Fall USA/Canada Tour",1995-11-16,"Liberty Lunch","Austin","USA","Blonde Redhead",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-111695","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-111695' target='_blank'>austin-tx-usa-111695</a>",1995,"1995 Fall USA/Canada Tour",1995-11-16,"Liberty Lunch","Austin","USA","Branch Manager",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-111795","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-111795' target='_blank'>austin-tx-usa-111795</a>",1995,"1995 Fall USA/Canada Tour",1995-11-17,"Liberty Lunch","Austin","USA","Blonde Redhead",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-112298","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-112298' target='_blank'>austin-tx-usa-112298</a>",1998,"1998 Fall Mid-West USA Tour",1998-11-22,"Liberty Lunch","Austin","USA","Hovercraft",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-112298","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-112298' target='_blank'>austin-tx-usa-112298</a>",1998,"1998 Fall Mid-West USA Tour",1998-11-22,"Liberty Lunch","Austin","USA","ICU",1100,"Very Good",30.2655522,-97.749048
"austin-tx-usa-33002","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-33002' target='_blank'>austin-tx-usa-33002</a>",2002,"2002 Spring Southern USA/Texas Tour",2002-03-30,"Emo's","Austin","USA","The White Papers",1200,"Very Good",30.2667251,-97.737053
"austin-tx-usa-33102","<a href='https://www.dischord.com/fugazi_live_series/austin-tx-usa-33102' target='_blank'>austin-tx-usa-33102</a>",2002,"2002 Spring Southern USA/Texas Tour",2002-03-31,"Emo's","Austin","USA","The Snobs",1300,"Very Good",30.2667251,-97.737053
